ISO3,Country Name,lat_min,lat_max,lon_min,lon_max,
ABW,Aruba,12.1702998,12.8102998,-70.2809842,-69.6409842,
AFG,Afghanistan,29.3772,38.4910682,60.5176034,74.889862,
AGO,Angola,-18.038945,-4.3880634,11.4609793,24.0878856,
AIA,Anguilla,18.0615454,18.7951194,-63.6391992,-62.7125449,
ALA,Åland Islands,59.4541578,60.87665,19.0832098,21.3456556,
ALB,Albania,11.081041,11.408791,-72.6598913,-72.4039128,
AND,Andorra,42.4288238,42.6559357,1.4135781,1.7863837,
ANT,Netherlands Antilles,12.1544542,12.1547472,-68.940593,-68.9403518,
ARE,United Arab Emirates,22.6444,26.2822,51.4980,56.3834,
ARG,Argentina,-55.1850761,-21.781168,-73.5600329,-53.6374515,
ARM,Armenia,4.3951997,4.5895768,-75.7854388,-75.6325211,
ASM,American Samoa,-14.7608358,-10.8449746,-171.2951296,-167.9322899,
ATA,Antarctica,-85.0511287,-60.0,-180.0,180.0,
ATF,French Southern Territories,-50.2187169,-11.3139928,39.4138676,77.8494974,
ATG,Antigua and Barbuda,16.7573901,17.929,-62.5536517,-61.447857,
AUS,Australia,-55.3228175,-9.0882278,72.2460938,168.2249543,
AUT,Austria,46.3722761,49.0205305,9.5307487,17.160776,
AZE,Azerbaijan,38.3929551,41.9502947,44.7633701,51.0090302,
BDI,Burundi,-4.4693155,-2.3096796,29.0007401,30.8498462,
BEL,Belgium,49.4969821,51.5516667,2.3889137,6.408097,
BEN,Benin,6.1730586,6.4930586,5.4621058,5.7821058,
BFA,Burkina Faso,9.4104718,15.084,-5.5132416,2.4089717,
BGD,Bangladesh,20.3756582,26.6382534,88.0075306,92.6804979,
BGR,Bulgaria,41.2353929,44.2167064,22.3571459,28.8875409,
BHR,Bahrain,35.1878012,35.2278012,72.5273968,72.5673968,
BHS,Bahamas,20.7059846,27.4734551,-80.7001941,-72.4477521,
BIH,Bosnia and Herzegovina,42.5553114,45.2764135,15.7287433,19.6237311,
BLM,Saint Barthélemy,17.670931,18.1375569,-63.06639,-62.5844019,
BLR,Belarus,51.2575982,56.17218,23.1783344,32.7627809,
BLZ,Belize,15.8857286,18.496001,-89.2262083,-87.3098494,
BMU,Bermuda,32.0469651,32.5913693,-65.1232222,-64.4109842,
BOL,"Bolivia, Plurinational State of",-22.8982742,-9.6689438,-69.6450073,-57.453,
BRA,Brazil,-33.8689056,5.2842873,-73.9830625,-28.6341164,
BRB,Barbados,12.845,13.535,-59.8562115,-59.2147175,
BRN,Brunei Darussalam,4.002508,5.1011857,114.0758734,115.3635623,
BTN,Bhutan,26.702016,28.246987,88.7464724,92.1252321,
